id,config,body_type,body_type_idx,split,cd,drag_area,cl,cl_f,cl_r,frontal_area,convex_hull_volume,bbox_volume,length_x,width_y,height_z,raw_stl_path,normalized_stl_path,pointcloud_path,occupancy_path,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle
E_S_WW_WM_001,E_S_WW_WM,E,1,train,0.29682511433887,0.6506406506308031,-0.273425808837209,-0.144586498073089,-0.128839310737541,2.192,0.0821545637370397,0.1270446574630038,0.9999160011721202,0.4260093967853136,0.2982453695166394,raw_stl/E_S_WW_WM/E_S_WW_WM_001.stl,normalized/E_S_WW_WM/E_S_WW_WM_001_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_001_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_001_occ.npz,10.1099,11.4064,-5.46415,-12.0162,2.26,-0.84,-5.53895,0.988306,-23.748,88.4825,-12.8101,0.7,-9.66762,-0.3,-9.34836,23.849,1.58493,21.2484,95.5656,-25.4121,-14.3906,28.4813,16.4525
E_S_WW_WM_002,E_S_WW_WM,E,1,train,0.261496809156146,0.5810459099449564,-0.105397074507308,-0.164740214079734,0.0593431395541528,2.222,0.0876773361892915,0.1359588776419683,0.999946669520525,0.4411320309892075,0.3082209389236916,raw_stl/E_S_WW_WM/E_S_WW_WM_002.stl,normalized/E_S_WW_WM/E_S_WW_WM_002_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_002_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_002_occ.npz,1.03776,-2.50048,7.12164,-15.8479,0.52,2.0,-2.40291,2.64545,-14.3908,105.888,4.40581,0.7,-3.96817,-0.4,1.43523,-16.9495,10.8679,8.14634,38.8182,-36.497,-16.9201,47.0299,125.643
E_S_WW_WM_003,E_S_WW_WM,E,1,train,0.265234801232558,0.594656424363395,-0.205012104664451,-0.0948008575946844,-0.110211247078073,2.242,0.0737461052845869,0.1169667624578548,0.9998411376122474,0.4070865152473987,0.2873721989005716,raw_stl/E_S_WW_WM/E_S_WW_WM_003.stl,normalized/E_S_WW_WM/E_S_WW_WM_003_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_003_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_003_occ.npz,10.6885,7.9281,1.25661,-11.5463,-0.55,1.27,-5.84264,7.94372,49.2193,-33.3192,-5.88646,0.4,7.34749,0.6,41.8471,17.3775,1.7845,-14.6882,127.773,35.0857,3.74546,64.5279,-56.1091
E_S_WW_WM_004,E_S_WW_WM,E,1,val,0.260660127122923,0.6500863570445701,-0.120182947218272,-0.0754739569970099,-0.0447089902620598,2.494,0.0985003159860867,0.1458792788747243,0.999936835908066,0.4825466189714142,0.3023303615719674,raw_stl/E_S_WW_WM/E_S_WW_WM_004.stl,normalized/E_S_WW_WM/E_S_WW_WM_004_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_004_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_004_occ.npz,14.5334,-1.17721,4.83007,-9.7897,1.19,2.33,12.9959,6.12042,-40.6043,-11.8186,-5.66616,-0.2,19.5822,0.3,9.76643,26.8499,5.58192,40.9572,30.6317,-37.2593,96.1223,21.3611,15.7273
E_S_WW_WM_005,E_S_WW_WM,E,1,test,0.274367566561461,0.6903087974686358,-0.0872481199910299,-0.113924401448504,0.0266762814463355,2.516,0.1000084220103807,0.1450729920134239,0.9999881880950836,0.4966571103900095,0.2921023430191704,raw_stl/E_S_WW_WM/E_S_WW_WM_005.stl,normalized/E_S_WW_WM/E_S_WW_WM_005_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_005_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_005_occ.npz,12.4013,13.5985,-7.42478,1.53958,1.61,1.65,9.68012,1.93187,-42.2052,-80.3318,1.01613,-0.3,13.5867,0.0,26.2982,-13.4056,-1.46832,35.4333,77.3889,-10.7627,134.9,-23.1996,94.305
E_S_WW_WM_006,E_S_WW_WM,E,1,val,0.237875191385382,0.6237087518124715,-0.16460408895681,-0.203171839667774,0.0385677507008289,2.622,0.0962154408333732,0.1460757270454745,0.9998831698899164,0.4857059459354579,0.3007844485029627,raw_stl/E_S_WW_WM/E_S_WW_WM_006.stl,normalized/E_S_WW_WM/E_S_WW_WM_006_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_006_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_006_occ.npz,-1.18239,-4.10419,-4.09792,-12.5462,-0.02,-0.16,15.3545,-4.85159,-15.7586,-77.3445,-8.19869,0.4,15.7624,0.3,13.9644,-13.1263,-28.0959,0.11702,52.5334,-6.3394,145.416,68.9509,-82.9837
E_S_WW_WM_007,E_S_WW_WM,E,1,train,0.274285479136212,0.6615765756765433,-0.192231686837209,-0.176539695740863,-0.015691991089782,2.412,0.0811426586352296,0.1192521310270976,0.9996725832119772,0.4465152178447017,0.2671604106593238,raw_stl/E_S_WW_WM/E_S_WW_WM_007.stl,normalized/E_S_WW_WM/E_S_WW_WM_007_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_007_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_007_occ.npz,-4.83583,4.63143,7.85474,10.4805,-1.11,2.45,10.4281,3.52759,10.0366,139.572,-3.17983,0.6,-21.8494,0.8,36.0917,24.216,-3.12102,10.687,109.759,4.99401,126.003,-48.7666,-23.5455
E_S_WW_WM_008,E_S_WW_WM,E,1,train,0.245955935588039,0.5893104216689414,-0.0397898715993355,-0.0788232618388704,0.0390333902361764,2.396,0.0846221009292956,0.1273377477900768,0.9998388269568949,0.4578261790097773,0.2781804107100317,raw_stl/E_S_WW_WM/E_S_WW_WM_008.stl,normalized/E_S_WW_WM/E_S_WW_WM_008_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_008_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_008_occ.npz,12.633,-6.93043,17.1409,5.99832,-0.13,-0.49,-9.25067,-1.46593,13.8096,54.7081,-7.33866,0.6,-5.29181,1.0,-14.025,-5.04874,-12.8986,-2.24489,20.6727,-30.2447,107.968,-30.7289,38.0441
E_S_WW_WM_009,E_S_WW_WM,E,1,train,0.264859683840531,0.6674464032781381,-0.18560611433887,-0.219239171993355,0.0336330577126245,2.52,0.1020648151669873,0.1501416543067557,0.9997720082485168,0.4905989580843771,0.3061072403375182,raw_stl/E_S_WW_WM/E_S_WW_WM_009.stl,normalized/E_S_WW_WM/E_S_WW_WM_009_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_009_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_009_occ.npz,-3.21032,-5.6486,19.5418,-13.942,0.32,1.14,-9.58623,-1.39111,-32.8516,74.847,-8.03779,-0.1,20.389,0.0,-17.4558,17.9963,-12.1105,37.9954,47.7272,-34.6912,90.9158,29.8537,146.229
E_S_WW_WM_010,E_S_WW_WM,E,1,val,0.28044014267774,0.6349164830224032,-0.149684394977408,-0.133149680083056,-0.0165347148628305,2.264,0.0977920621728692,0.1469458565159613,0.9999837844953924,0.4570563124888994,0.3215101407430678,raw_stl/E_S_WW_WM/E_S_WW_WM_010.stl,normalized/E_S_WW_WM/E_S_WW_WM_010_norm.stl,pointclouds/E_S_WW_WM/E_S_WW_WM_010_pc.ply,occupancy/E_S_WW_WM/E_S_WW_WM_010_occ.npz,6.97352,-2.88655,9.75021,-11.8799,0.19,-0.01,-6.24626,8.85415,27.9209,-25.1838,-14.9975,-0.3,6.80587,-0.3,1.80588,-2.36095,-24.5383,15.6597,24.6156,37.1007,0.165822,61.3787,9.76996
